review_text,is_helpful,quality_rating,sentiment,word_count
"Disappointed. The material feels cheap and it shrank significantly after the first wash, even though I followed the instructions. The seams are already coming loose. I expected better durability. Would buy again.",0,Medium,Negative,32.0
"Perfect, thank you. Disappointed in shipping.",0,Low,Positive,6.0
Average product. It works but the build quality is plastic-y. You get what you pay for. Highly recommended by my friend.,1,Medium,Neutral,21.0
"This is a fantastic monitor for the price. The colors are vibrant and the 144Hz refresh rate makes gaming extremely smooth. The stand is adjustable, which is a great bonus. No dead pixels found. Delivery was fast.",1,High,Positive,37.0
"After using this vacuum for 3 weeks, here is my honest review. Pros: 1. Great suction on hardwood. 2. Lightweight. Cons: The dustbin is a bit small and requires emptying after every room. Still, highly worth the price. Would buy again.",0,Medium,Positive,41.0
"After using this vacuum for 3 weeks, here is my honest review. Pros: 1. Great suction on hardwood. 2. Lightweight. Cons: The dustbin is a bit small and requires emptying after every room. Still, highly worth the price. Would buy again.",1,High,Positive,41.0
"Great purchase. Overall, it is fine.",0,Low,Positive,6.0
Great purchase.,0,Low,Positive,2.0
"I love it!!! Great quality, highly recommend. Would buy again.",0,Low,Positive,10.0
Useless. Did not like it. Item arrived undamaged.,0,Low,Negative,8.0
Average product. It works but the build quality is plastic-y. You get what you pay for. Would buy again.,0,Medium,Neutral,19.0
Works exactly as advertised! Setup took less than 5 minutes. The build quality feels premium with a sturdy aluminum frame. I tested it with multiple devices and there was zero latency. Disappointed in shipping.,1,High,Positive,34.0
Excellent item! Fast shipping and works fine. Highly recommended by my friend.,1,Medium,Positive,12.0
"Worst product ever! It broke. Overall, it is fine.",0,Low,Negative,9.0
"After using this vacuum for 3 weeks, here is my honest review. Pros: 1. Great suction on hardwood. 2. Lightweight. Cons: The dustbin is a bit small and requires emptying after every room. Still, highly worth the price. Would buy again.",1,High,Positive,41.0
"Disappointed. The material feels cheap and it shrank significantly after the first wash, even though I followed the instructions. The seams are already coming loose. I expected better durability. Would buy again.",1,High,Negative,32.0
Useless. Did not like it. Delivery was fast.,0,Low,Negative,8.0
"This is a fantastic monitor for the price. The colors are vibrant and the 144Hz refresh rate makes gaming extremely smooth. The stand is adjustable, which is a great bonus. No dead pixels found. Overall, it is fine.",1,High,Positive,38.0
"After using this vacuum for 3 weeks, here is my honest review. Pros: 1. Great suction on hardwood. 2. Lightweight. Cons: The dustbin is a bit small and requires emptying after every room. Still, highly worth the price. Item arrived undamaged.",1,High,Positive,41.0
"I love it!!! Great quality, highly recommend. Would buy again.",0,Low,Positive,10.0
"It is okay, but not great. The sound is clear, but there is no bass. Good for podcasts, bad for music. Overall, it is fine.",1,Medium,Neutral,25.0
"I love it!!! Great quality, highly recommend. Item arrived undamaged.",0,Low,Positive,10.0
Awful purchase. Delivery was slow. Highly recommended by my friend.,1,Medium,Negative,10.0
"Nice product, works good. Disappointed in shipping.",0,Low,Positive,7.0
"It is okay, but not great. The sound is clear, but there is no bass. Good for podcasts, bad for music. Highly recommended by my friend.",1,High,Neutral,26.0
Terrible. Do not buy.,0,Low,Negative,4.0
Terrible. Do not buy.,1,Medium,Negative,4.0
Excellent item! Fast shipping and works fine.,0,Low,Positive,7.0
"Perfect, thank you. Delivery was fast.",0,Low,Positive,6.0
Works exactly as advertised! Setup took less than 5 minutes. The build quality feels premium with a sturdy aluminum frame. I tested it with multiple devices and there was zero latency. Delivery was fast.,1,High,Positive,34.0
"Do not buy this phone case if you want protection. The plastic split along the volume rocker after only 2 days of normal use. It is very thin and offers no drop protection. Returning this immediately. Overall, it is fine.",1,High,Negative,40.0
Excellent item! Fast shipping and works fine. Would buy again.,0,Low,Positive,10.0
"Nice product, works good. Would buy again.",0,Low,Positive,7.0
Awful purchase. Delivery was slow. Highly recommended by my friend.,0,Low,Negative,10.0
Do not buy this phone case if you want protection. The plastic split along the volume rocker after only 2 days of normal use. It is very thin and offers no drop protection. Returning this immediately. Delivery was fast.,1,High,Negative,39.0
Works exactly as advertised! Setup took less than 5 minutes. The build quality feels premium with a sturdy aluminum frame. I tested it with multiple devices and there was zero latency.,1,High,Positive,31.0
Useless. Did not like it. Item arrived undamaged.,0,Low,Negative,8.0
"Do not buy this phone case if you want protection. The plastic split along the volume rocker after only 2 days of normal use. It is very thin and offers no drop protection. Returning this immediately. Overall, it is fine.",1,High,Negative,40.0
Worst product ever! It broke. Highly recommended by my friend.,1,Medium,Negative,10.0
Useless. Did not like it. Highly recommended by my friend.,0,Low,Negative,10.0
Terrible. Do not buy. Delivery was fast.,1,Medium,Negative,7.0
